identifier,name,description,weight,categoryDuration,category
Ou0007,Ευρωπαϊκή Κάρτα Ασφάλισης  Ασθενείας (Ε.Κ.Α.Α),"Ευρωπαϊκή Κάρτα Ασφάλισης  Ασθενείας ",1,,1 έτος ή μέχρι την λήξη ασφαλιστικής ενημερότητας
Ou0008,Τουριστική Visa για Κίνα 30 ημερών Μονής Εισόδου,"Εκδίδεται για όσους επιθυμούν να πάνε στην Κίνα για τουριστικούς λόγους",2,Μονής Εισόδου,30 ημέρες
Ou0009,Transit Visa για Κίνα,"Εκδίδεται σε αυτούς που έχουν ανταπόκριση για άλλη χώρα μέσω Κίνας (βίζα διέλευσης Τράνζιτ) ",1,Μονής Εισόδου,Για περιορισμένο χρονικό διάστημα
Ou0010,Τουριστική Visa για Ρωσία 16 ημερών Μονής Εισόδου,"Οι απλές τουριστικές βίζες χορηγούνται στους πολίτες της Ελλάδας για βραχυπρόθεσμη παραμονή στη χώρα για σκοπούς τουρισμού (επίσκεψη σε πολιτιστικές εκδηλώσεις, εκδρομές, περιηγήσεις σε αξιοθέατα).",2,Μονής Εισόδου,16 ημέρες
Ou0011,Τουριστική Visa για Ρωσία 30 ημερών Μονής Εισόδου,"Οι απλές τουριστικές βίζες χορηγούνται στους πολίτες της Ελλάδας για βραχυπρόθεσμη παραμονή στη χώρα για σκοπούς τουρισμού (επίσκεψη σε πολιτιστικές εκδηλώσεις, εκδρομές, περιηγήσεις σε αξιοθέατα).",3,Μονής Εισόδου,30 ημέρες
Ou0012,Transit Visa για Ρωσία,"Η απλή θεώρηση διέλευσης μονής εισόδου χορηγείται στους πολίτες της Ελλάδας, σε πολίτες άλλων χωρών ή σε ανιθαγενείς που εισέρχονται στη Ρωσική Ομοσπονδία για σκοπούς διέλευσης από το έδαφος της Ρωσικής Ομοσπονδίας. ",1,Μονής Εισόδου,"Mπορεί να είναι για χρονικό διάστημα μέχρι 10 ημερών (οδικώς ή σιδηροδρομικώς), ή για χρονικό διάστημα έως και 3 ημερών (αεροπορικώς)"
Ou0013,Τουριστική Visa για Ινδία 30 ημερών Μονής Εισόδου,"Ο τουρίστας του οποίου ο μοναδικός σκοπός της επίσκεψης στην Ινδία είναι η αναψυχή, η επίσκεψη στα αξιοθέατα, η περιστασιακή επίσκεψη, η συνάντηση φίλων και συγγενών θα λάβει Τουριστική Βίζα για τη διάρκεια της επίσκεψης, η οποία ισχύει από την ημερομηνία έκδοσης. Οι τουριστικές βίζες είναι μη επεκτάσιμες και μη μετατρέψιμες. ",2,Μονής Εισόδου,30 ημέρες
Ou0014,Τουριστική Visa για Ινδία 1 έτους Πολλαπλής Εισόδου,"Ο τουρίστας του οποίου ο μοναδικός σκοπός της επίσκεψης στην Ινδία είναι η αναψυχή, η επίσκεψη στα αξιοθέατα, η περιστασιακή επίσκεψη, η συνάντηση φίλων και συγγενών θα λάβει Τουριστική Βίζα για τη διάρκεια της επίσκεψης, η οποία ισχύει από την ημερομηνία έκδοσης. Οι τουριστικές βίζες είναι μη επεκτάσιμες και μη μετατρέψιμες. ",3,Πολλαπλής Εισόδου,1 έτος
Ou0015,Τουριστική Visa για Ινδία 5 ετών Πολλαπλής Εισόδου,"Ο τουρίστας του οποίου ο μοναδικός σκοπός της επίσκεψης στην Ινδία είναι η αναψυχή, η επίσκεψη στα αξιοθέατα, η περιστασιακή επίσκεψη, η συνάντηση φίλων και συγγενών θα λάβει Τουριστική Βίζα για τη διάρκεια της επίσκεψης, η οποία ισχύει από την ημερομηνία έκδοσης. Οι τουριστικές βίζες είναι μη επεκτάσιμες και μη μετατρέψιμες. ",4,Πολλαπλής Εισόδου,5 έτη
Ou0016,Transit Visa για Ινδία,"Η βίζα διέλευσης χορηγείται με μοναδικό σκοπό να επιτρέψει στον κάτοχο να ταξιδέψει μέσω της Ινδίας για να φτάσει στον τελικό προορισμό του. Δεν επιτρέπεται αλλαγή σκοπού. Η βίζα θα ισχύει για είσοδο εντός 15 ημερών από την ημερομηνία έκδοσης. ",1,Μονής Εισόδου,"Ισχύει μόνο για άμεση διέλευση μόνο για μέγιστη περίοδο 3 ημερών. Για διαμονή στην Ινδία πέραν των 3 ημερών, θα πρέπει να ληφθεί η κατάλληλη βίζα."
Ou0017,Τουριστική Visa για την Αίγυπτο 30 ημερών Μονής Εισόδου,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν την Αίγυπτο για τουριστικούς λόγους.",2,Μονής Εισόδου,30 ημέρες
Ou0018,Τουριστική Visa για την Αίγυπτο 3 μηνών Πολλαπλής Εισόδου,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν την Αίγυπτο για τουριστικούς λόγους. Κατά την άφιξη, θα σας επιτραπεί να μείνετε στην Αίγυπτο για μια περίοδο που δεν υπερβαίνει τις 30 ημέρες.",3,Πολλαπλής Εισόδου,3 μήνες 
Ou0020,Transit Visa για την Αίγυπτο,"Η βίζα διέλευσης χορηγείται με μοναδικό σκοπό να επιτρέψει στον κάτοχο να ταξιδέψει μέσω της Αιγύπτου για να φτάσει στον τελικό προορισμό του εφόσον παραμείνει στην χώρα πάνω από 48 ώρες.",1,Μονής Εισόδου,Για περιορισμένο χρονικό διάστημα
Ou0021,Τουριστική Visa για Μαλδίβες 30 ημερών Μονής Εισόδου,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν τις Μαλδίβες για τουριστικούς λόγους",1,Μονής Εισόδου,30 ημέρες
Ou0022,Τουριστική Visa για την Κούβα 30 ημρών Μονής Εισόδου,"Εκδίδεται μόνο για ταξίδια αλλοδαπών πολιτών που επιθυμούν να κάνουν τουρισμό στην Κούβα.",1,Μονής Εισόδου,30 ημέρες
Ou0023,Τουριστική Visa για την Ιορδανία 1 μηνός Μονής Εισόδου,"Εκδίδεται σε αλλοδαπούς που επιθυμούν να ταξιδέψουν στη χώρα αποκλειστικά για σκοπούς τουρισμού και ψυχαγωγίας.",2,Μονής Εισόδου,1 μήνα
Ou0024,Τουριστική Visa για την Ιορδανία 2 μηνών Μονής Εισόδου,"Εκδίδεται σε αλλοδαπούς που επιθυμούν να ταξιδέψουν στη χώρα αποκλειστικά για σκοπούς τουρισμού και ψυχαγωγίας.",3,Μονής Εισόδου,2 μήνες
Ou0025,Τουριστική Visa για την Ιορδανία 3 μηνών Πολλαπλής Εισόδου,"Εκδίδεται σε αλλοδαπούς που επιθυμούν να ταξιδέψουν στη χώρα αποκλειστικά για σκοπούς τουρισμού και ψυχαγωγίας.",4,Πολλαπλής Εισόδου,3 μήνες 
Ou0026,Τουριστική Visa για Ιορδανία 6 μηνών Πολλαπλής Εισόδου,"Εκδίδεται σε αλλοδαπούς που επιθυμούν να ταξιδέψουν στη χώρα αποκλειστικά για σκοπούς τουρισμού και ψυχαγωγίας.",5,Πολλαπλής Εισόδου,6 μήνες 
Ou0027,Transit Visa για Ιορδανία,"Η βίζα διέλευσης χορηγείται με μοναδικό σκοπό να επιτρέψει στον κάτοχο να ταξιδέψει μέσω της Ιορδανία για να φτάσει στον τελικό προορισμό του εφόσον παραμείνει στην χώρα πάνω από 48 ώρες.",1,Μονής Εισόδου,Για περιορισμένο χρονικό διάστημα.
Ou0028,Τουριστική Visa για Βιετναμ 1 μήνος Μονής Εισόδου,"Εκδίδεται σε αλλοδαπούς  που επιθυμούν να ταξιδέψουν στη χώρα για σκοπούς τουρισμού και ψυχαγωγίας",1,Μονής Εισόδου,1 μήνα
Ou0029,Τουριστική Visa για Βιετναμ 1 μήνος Πολλαπλής Εισόδου,"Εκδίδεται σε αλλοδαπούς  που επιθυμούν να ταξιδέψουν στη χώρα για σκοπούς τουρισμού και ψυχαγωγίας",2,Πολλαπλής Εισόδου,1 μήνα
Ou0030,Τουριστική Visa για Βιετναμ 3 μηνών Μονής Εισόδου,"Εκδίδεται σε αλλοδαπούς  που επιθυμούν να ταξιδέψουν στη χώρα για σκοπούς τουρισμού και ψυχαγωγίας",3,Μονής Εισόδου,3 μήνες 
Ou0031,Τουριστική Visa για Βιετναμ 3 μηνών Πολλαπλής Εισόδου,"Εκδίδεται σε αλλοδαπούς  που επιθυμούν να ταξιδέψουν στη χώρα για σκοπούς τουρισμού και ψυχαγωγίας",4,Πολλαπλής Εισόδου,3 μήνες 
Ou0032,Τουριστική Visa για Κένυα 3 μηνών Μονής Εισόδου,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν την Κένυα για τουριστικούς λόγους",2,Μονής Εισόδου,3 μήνες 
Ou0033,Τουριστική Visa για Κένυα 3-12 μηνών Πολλαπλής Εισόδου,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν την Κένυα για τουριστικούς λόγους",3,Πολλαπλής Εισόδου,3 - 12 μήνες
Ou0034,Transit Visa για Κένυα,"Η βίζα διέλευσης χορηγείται με μοναδικό σκοπό να επιτρέψει στον κάτοχο να ταξιδέψει μέσω της Κένυα. για να φτάσει στον τελικό προορισμό. οι πτήσεις απευθείας σύνδεσης χωρίς αναχώρηση από το αεροδρόμιο δεν χρειάζεται να υποβάλουν αίτηση για βίζα διέλευσης.",1,Μονής Εισόδου,72 ώρες
Ou0035,Τουριστική Visa για Μαδαγασκάρη 30 ημερών Μονής Εισόδου,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν την Μαδαγασκάρη για τουριστικούς λόγους",1,Μονής Εισόδου,30 ημέρες
Ou0036,Τουριστική Visa για Μαδαγασκάρη 60 ημερών Μονής Εισόδου,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν την Μαδαγασκάρη για τουριστικούς λόγους",2,Μονής Εισόδου,60 ημέρες
Ou0037,Τουριστική Visa για Μαδαγασκάρη 90 ημερών Μονής Εισόδου,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν την Μαδαγασκάρη για τουριστικούς λόγους",3,Μονής Εισόδου,90 ημέρες
Ou0038,Τουριστική Visa για Νεπαλ 15 ημερών,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν το Νεπάλ για τουριστικούς λόγους. Η τουριστική βίζα παρατείνεται και δεν υπερβαίνει τις 150 ημέρες διαμονής σε ένα έτος θεώρησης",1,Μονής Εισόδου,15 ημέρες
Ou0039,Τουριστική Visa για Νεπαλ 60 ημερών,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν το Νεπάλ για τουριστικούς λόγους. Η τουριστική βίζα παρατείνεται και δεν υπερβαίνει τις 150 ημέρες διαμονής σε ένα έτος θεώρησης",2,Μονής Εισόδου,60 ημέρες
Ou0040,Τουριστική Visa για Νεπαλ 90 ημερών,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν το Νεπάλ για τουριστικούς λόγους. Η τουριστική βίζα παρατείνεται και δεν υπερβαίνει τις 150 ημέρες διαμονής σε ένα έτος θεώρησης",3,Μονής Εισόδου,90 ημέρες
Ou0041,Τουριστική Visa για Τανζανία 90 ημέρών Μονής εισόδου ,"Εκδίδεται για όσους επιθυμούν να επισκεφτούν την Τανζανία για τουριστικούς λόγους",2,Μονής Εισόδου,90 ημέρες
Ou0042,Transit Visa για Τανζανία,"Η βίζα διέλευσης χορηγείται με σκοπό να επιτρέψει στον κάτοχο να ταξιδέψει μέσω της Τανζανίας για να φτάσει στον τελικό προορισμό του.",1,Μονής Εισόδου,7 ημέρες
