Ch_id,A_id
Ch0002,A0091
Ch0003,A0092
Ch0004,A0090
Ch0011,A0091
Ch0012,A0090
Ch0013,A0092
Ch0016,A0091
Ch0017,A0090
Ch0019,A0091
Ch0020,A0092
Ch0025,A0090
Ch0026,A0091
Ch0028,A0091
Ch0031,A0090
Ch0032,A0092
Ch0033,A0092
Ch0036,A0091
Ch0037,A0092
Ch0040,A0091
Ch0041,A0090
Ch0048,A0092
Ch0049,A0090
Ch0050,A0089|A0057|A0058
Ch0051,A0088|A0057|A0058
Ch0052,A0087|A0057|A0058
Ch0053,A0064|A0057|A0058
Ch0054,A0065|A0057|A0058
Ch0055,A0066|A0057|A0058
Ch0056,A0067|A0057|A0058
Ch0057,A0068|A0057|A0058
Ch0058,A0069|A0057|A0058
Ch0059,A0070|A0057|A0058
Ch0060,A0070|A0057|A0058
Ch0061,A0070|A0057|A0058
Ch0062,A0070|A0057|A0058
Ch0063,A0070|A0057|A0058
Ch0064,A0070|A0057|A0058
Ch0065,A0070|A0057|A0058
Ch0066,Î‘0071|A0057|A0058
Ch0067,A0072|A0057|A0058
Ch0068,A0073|A0057|A0058
Ch0069,A0074|A0057|A0058
Ch0070,A0075|A0057|A0058
Ch0071,A0076|A0057|A0058
Ch0072,A0077|A0057|A0058
Ch0073,A0078|A0057|A0058
Ch0074,A0079|A0057|A0058
Ch0075,A0080|A0057|A0058
Ch0076,A0081|A0057|A0058
Ch0077,A0082|A0057|A0058
Ch0078,A0082|A0057|A0058
Ch0079,A0083|A0057|A0058
Ch0079,A0083|A0057|A0058
ch0080,a0056










